OFFER_ID,OFFER_NAME,PRIMARY_FLAG,PAY_MODE,PAY_MODE_D,OFFER_TYPE_BI,SEGMENT_CATEGORY_BI
1662633545,Lebara_Hybrid_Test,1,3,Hybrid,,IT
1915507598,Transfer_Limit_2,1,0,Prepaid,,B2C
1321962909,test_familyoffer_post2,1,1,Postpaid,,IT
322001726,Iphone_6+LebaraPackage,1,0,Prepaid,,B2C
121960980,test_familyoffer_pre,1,0,Prepaid,,IT
721833020,Iphone_7+SaudiPost,1,1,Postpaid,,B2C
319108703,family_test,1,0,Prepaid,,IT
1119025678,LebaraPackage001,1,0,Prepaid,,B2C
519099390,test_family_zzy,1,0,Prepaid,,IT
1019397483,family_post,1,1,Postpaid,,B2C
1916200877,group_test,1,1,Postpaid,,IT
519092471,ATP_CUG_Group_test1,1,0,Prepaid,,IT
1122629305,Corporate_test,1,1,Postpaid,,IT
1022611059,Corport_Offer_Test,1,1,Postpaid,,IT
188288882,ATP_CUG_Group,1,0,Prepaid,,M2M
1122547261,test_familyoffer_post3,1,1,Postpaid,,IT
1721163704,VPN_service_Yang,1,1,Postpaid,,M2M
119682731,SaudiPost001,1,1,Postpaid,,B2C
1625292158,Lebara_Packagerevamp,1,0,Prepaid,,B2C
1048216997,Qanawat_1_GB,1,1,Postpaid,POSTPAID,
1836180248,Testprimaryoffer,1,0,Prepaid,,IT
923677841,LebaraTest,1,0,Prepaid,PREPAID,
1949284163,Geidea_30MB_6SAR,1,0,Prepaid,PREPAID,
739472054,Smart_Dimention_corp,1,0,Prepaid,,M2M
524117934,DATASIM_Test,1,0,Prepaid,PREPAID,
1662635279,Lebara_Hybrid_Test1,1,3,Hybrid,,IT
1844898908,Arkantel_100_MB_Test,1,0,Prepaid,PREPAID,
1539711309,Postpaid_Hybrid30,1,1,Postpaid,POSTPAID,
1608753268,Lebara CUG Group PostPaid,1,1,Postpaid,,B2B
1599674425,Saudipost 19H Hybrid,1,3,Hybrid,HYBRID,B2C
1460894906,Saudipost 19H,1,1,Postpaid,POSTPAID2,B2C
744406359,Lebara_Postpaid_SAR30,1,1,Postpaid,POSTPAID2,B2C
100000012,YearlyGoldenNumberCombo,1,0,Prepaid,PREPAID,
1699686222,25H Intl Package,1,3,Hybrid,HYBRID,B2C
1878863580,Eman 2,1,1,Postpaid,POSTPAID2,B2C
1844404300,Lebara_Postpaid_H25,1,1,Postpaid,POSTPAID2,B2C
1554931405,3GB_DATA_SIM,1,1,Postpaid,POSTPAID2,B2C
1731848306,testlifecyclePPS,1,0,Prepaid,,IT
1936177371,Dimension_30MB,1,1,Postpaid,POSTPAID,
1228151359, InternationalPackage_2,1,0,Prepaid,,B2C
1359497807,M2M corporate,1,1,Postpaid,,M2M
511605586,5GB data SIM,1,1,Postpaid,POSTPAID2,B2C
172199863,3GB data SIM,1,1,Postpaid,POSTPAID2,B2C
1712949204,VMobile_CUG_Group_PPS,1,0,Prepaid,,B2B
1524948288,Lebara_Package_revamp_PPS,1,0,Prepaid,,B2C
549460820,Hawakom Three,1,1,Postpaid,POSTPAID2,B2C
118870486,Maharah Postpaid 30GB,1,1,Postpaid,POSTPAID,B2B
1182669784,25H Intl package,1,1,Postpaid,POSTPAID2,B2C
938221786,B2B Basic Package,1,1,Postpaid,POSTPAID,B2B
1222791775,Platinum,1,1,Postpaid,POSTPAID,B2C
125071934,PushVanity01,1,0,Prepaid,PREPAID,B2C
1058352064,Test_RC_Charge1,1,1,Postpaid,POSTPAID2,
1372995808,1GB data SIM,1,1,Postpaid,POSTPAID2,B2C
1106491619,V Postpaid 65,1,1,Postpaid,,B2C
1159927526,B2B Silver Plus Package,1,1,Postpaid,POSTPAID,B2B
1311878378,Fraud Test,1,0,Prepaid,,IT
587650425,V PrePaid Package,1,0,Prepaid,PREPAID ,
140601852,Lebara Ambassador Package,1,0,Prepaid,PREPAID,B2C
1434985921,Saudipost_ prep,1,0,Prepaid,PREPAID,B2C
1275743427,Always connected Package,1,0,Prepaid,PREPAID,B2C
1222788430,Bronze,1,1,Postpaid,POSTPAID,B2C
152518612,Lebara_55SAR_Post,1,1,Postpaid,POSTPAID2,B2C
338160727,B2B Platinum Package,1,1,Postpaid,POSTPAID,B2B
1111879387,Roaming Test,1,0,Prepaid,,IT
1164153310,M2M OFFER GeIdea NCB,1,0,Prepaid,PREPAID,M2M
983632094,M2M_EST_100_MB,1,0,Prepaid,PREPAID,M2M
554537954,Postpaid 500 NoContract,1,1,Postpaid,POSTPAID,B2C
1280631395,B2B Hala Package,1,1,Postpaid,POSTPAID,
1235207268,Operation Partners,1,3,Hybrid,HYBRID,B2B
1328255468,25 H Package,1,0,Prepaid,PREPAID,B2C
100000110,M2M OFFER POS NSP,1,1,Postpaid,,
1306785392,25 H Package AB2,1,0,Prepaid,,B2C
172178930,Lebara Postpaid SAR30,1,1,Postpaid,POSTPAID2,B2C
1112192505,B2B Data Package,1,1,Postpaid,,B2B
395109115,25H Super,1,3,Hybrid,HYBRID,B2C
1330054392,1GBYearlyDataSim,1,0,Prepaid,PREPAID,
100000102,Benya Company,1,1,Postpaid,POSTPAID,M2M
973200729,Pure Postpaid Test TAX,1,1,Postpaid,POSTPAID,
1142981150,B2B_Platinum_Package,1,3,Hybrid,,B2B
142986003,B2B_Gold_Package,1,3,Hybrid,,B2B
1542985829,B2B_Bronze_Package,1,3,Hybrid,,B2B
1142985464,B2B_Silver_Package,1,3,Hybrid,,B2B
1142984719,B2B_Basic_Package,1,3,Hybrid,HYBRID,
1542898369,Hawakom 4,1,0,Prepaid,PREPAID,B2C
1187498881,V Postpaid 225,1,1,Postpaid,POSTPAID,
1667027556,M2M OFFER SKYBANDVSAT,1,0,Prepaid,PREPAID,M2M
1522745317,Regular,1,1,Postpaid,POSTPAID,B2C
1934795109,Contracting_Corp3,1,0,Prepaid,PREPAID,B2B
1762118247,2GB Data SIM Mall,1,1,Postpaid,POSTPAID2,B2C
1609879403,V Mobile Prepaid,1,0,Prepaid,PREPAID,B2C
721897283,Eman 3 Prepaid,1,0,Prepaid,PREPAID,B2C
1698732485,25H Prepaid,1,3,Hybrid,HYBRID,B2C
